entity_name,aliases,QUERY_short
Acredius,Acredius;Acredius P2P;Acredius platform;acredius,"""Acredius"" OR ""Acredius P2P"" OR ""Acredius platform"" OR ""acredius"" OR loan OR lending OR credit OR fintech"
Anodu,Anodu;Anodu P2P;Anodu platform;anodu,"""Anodu"" OR ""Anodu P2P"" OR ""Anodu platform"" OR ""anodu"" OR loan OR lending OR credit OR fintech"
Biz2credit,Biz2credit;Biz2credit P2P;Biz2credit platform;biz2credit,"""Biz2credit"" OR ""Biz2credit P2P"" OR ""Biz2credit platform"" OR ""biz2credit"" OR loan OR lending OR credit OR fintech"
Bondora,Bondora;Bondora P2P;Bondora platform;bondora,"""Bondora"" OR ""Bondora P2P"" OR ""Bondora platform"" OR ""bondora"" OR loan OR lending OR credit OR fintech"
Bondster,Bondster;Bondster P2P;Bondster platform;bondster,"""Bondster"" OR ""Bondster P2P"" OR ""Bondster platform"" OR ""bondster"" OR loan OR lending OR credit OR fintech"
CashENable (Labamu),Cash E Nable ( Labamu);CashENable (Labamu);CashENable (Labamu) P2P;CashENable (Labamu) platform;CashENable(Labamu);cash e nable ( labamu);cashenable (labamu),"""Cash E Nable ( Labamu)"" OR ""CashENable (Labamu)"" OR ""CashENable (Labamu) P2P"" OR ""CashENable (Labamu) platform"" OR ""CashENable(Labamu)"" OR ""cash e nable ( labamu)"" OR ""cashenable (labamu)"" OR loan OR lending OR credit OR fintech"
CG24,C G24;CG24;CG24 P2P;CG24 platform;c g24;cg24,"""C G24"" OR ""CG24"" OR ""CG24 P2P"" OR ""CG24 platform"" OR ""c g24"" OR ""cg24"" OR loan OR lending OR credit OR fintech"
Colectual,Colectual;Colectual P2P;Colectual platform;colectual,"""Colectual"" OR ""Colectual P2P"" OR ""Colectual platform"" OR ""colectual"" OR loan OR lending OR credit OR fintech"
Conda,Conda;Conda P2P;Conda platform;conda,"""Conda"" OR ""Conda P2P"" OR ""Conda platform"" OR ""conda"" OR loan OR lending OR credit OR fintech"
Crowd4Cash,Crowd4 Cash;Crowd4Cash;Crowd4Cash P2P;Crowd4Cash platform;crowd4 cash;crowd4cash,"""Crowd4 Cash"" OR ""Crowd4Cash"" OR ""Crowd4Cash P2P"" OR ""Crowd4Cash platform"" OR ""crowd4 cash"" OR ""crowd4cash"" OR loan OR lending OR credit OR fintech"
CRX,C R X;CRX;CRX P2P;CRX platform;c r x;crx,"""C R X"" OR ""CRX"" OR ""CRX P2P"" OR ""CRX platform"" OR ""c r x"" OR ""crx"" OR loan OR lending OR credit OR fintech"
Evenfi,Evenfi;Evenfi P2P;Evenfi platform;evenfi,"""Evenfi"" OR ""Evenfi P2P"" OR ""Evenfi platform"" OR ""evenfi"" OR loan OR lending OR credit OR fintech"
Fellow Finance,Fellow  Finance;Fellow Finance;Fellow Finance P2P;Fellow Finance platform;FellowFinance;fellow  finance;fellow finance,"""Fellow  Finance"" OR ""Fellow Finance"" OR ""Fellow Finance P2P"" OR ""Fellow Finance platform"" OR ""FellowFinance"" OR ""fellow  finance"" OR ""fellow finance"" OR loan OR lending OR credit OR fintech"
Finbee,Finbee;Finbee P2P;Finbee platform;finbee,"""Finbee"" OR ""Finbee P2P"" OR ""Finbee platform"" OR ""finbee"" OR loan OR lending OR credit OR fintech"
Finomark,Finomark;Finomark P2P;Finomark platform;finomark,"""Finomark"" OR ""Finomark P2P"" OR ""Finomark platform"" OR ""finomark"" OR loan OR lending OR credit OR fintech"
Flex Funding,Flex  Funding;Flex Funding;Flex Funding P2P;Flex Funding platform;FlexFunding;flex  funding;flex funding,"""Flex  Funding"" OR ""Flex Funding"" OR ""Flex Funding P2P"" OR ""Flex Funding platform"" OR ""FlexFunding"" OR ""flex  funding"" OR ""flex funding"" OR loan OR lending OR credit OR fintech"
Fulfin,Fulfin;Fulfin P2P;Fulfin platform;fulfin,"""Fulfin"" OR ""Fulfin P2P"" OR ""Fulfin platform"" OR ""fulfin"" OR loan OR lending OR credit OR fintech"
Funding Partner,Funding  Partner;Funding Partner;Funding Partner P2P;Funding Partner platform;FundingPartner;funding  partner;funding partner,"""Funding  Partner"" OR ""Funding Partner"" OR ""Funding Partner P2P"" OR ""Funding Partner platform"" OR ""FundingPartner"" OR ""funding  partner"" OR ""funding partner"" OR loan OR lending OR credit OR fintech"
Geldvoorelkaar,Geldvoorelkaar;Geldvoorelkaar P2P;Geldvoorelkaar platform;geldvoorelkaar,"""Geldvoorelkaar"" OR ""Geldvoorelkaar P2P"" OR ""Geldvoorelkaar platform"" OR ""geldvoorelkaar"" OR loan OR lending OR credit OR fintech"
Get Income,Get  Income;Get Income;Get Income P2P;Get Income platform;GetIncome;get  income;get income,"""Get  Income"" OR ""Get Income"" OR ""Get Income P2P"" OR ""Get Income platform"" OR ""GetIncome"" OR ""get  income"" OR ""get income"" OR loan OR lending OR credit OR fintech"
Goparity,Goparity;Goparity P2P;Goparity platform;goparity,"""Goparity"" OR ""Goparity P2P"" OR ""Goparity platform"" OR ""goparity"" OR loan OR lending OR credit OR fintech"
Hive Finance,Hive  Finance;Hive Finance;Hive Finance P2P;Hive Finance platform;HiveFinance;hive  finance;hive finance,"""Hive  Finance"" OR ""Hive Finance"" OR ""Hive Finance P2P"" OR ""Hive Finance platform"" OR ""HiveFinance"" OR ""hive  finance"" OR ""hive finance"" OR loan OR lending OR credit OR fintech"
ITF Group,I T F  Group;ITF Group;ITF Group P2P;ITF Group platform;ITFGroup;i t f  group;itf group,"""I T F  Group"" OR ""ITF Group"" OR ""ITF Group P2P"" OR ""ITF Group platform"" OR ""ITFGroup"" OR ""i t f  group"" OR ""itf group"" OR loan OR lending OR credit OR fintech"
Klear Lending,Klear  Lending;Klear Lending;Klear Lending P2P;Klear Lending platform;KlearLending;klear  lending;klear lending,"""Klear  Lending"" OR ""Klear Lending"" OR ""Klear Lending P2P"" OR ""Klear Lending platform"" OR ""KlearLending"" OR ""klear  lending"" OR ""klear lending"" OR loan OR lending OR credit OR fintech"
