entity_name,category,aliases
Acredius,Platform,Acredius;Acredius P2P;Acredius platform;acredius
Anodu,Platform,Anodu;Anodu P2P;Anodu platform;anodu
Biz2credit,Platform,Biz2credit;Biz2credit P2P;Biz2credit platform;biz2credit
Bondora,Platform,Bondora;Bondora P2P;Bondora platform;bondora
Bondster,Platform,Bondster;Bondster P2P;Bondster platform;bondster
CashENable (Labamu),Platform,Cash E Nable ( Labamu);CashENable (Labamu);CashENable (Labamu) P2P;CashENable (Labamu) platform;CashENable(Labamu);cash e nable ( labamu);cashenable (labamu)
CG24,Platform,C G24;CG24;CG24 P2P;CG24 platform;c g24;cg24
Colectual,Platform,Colectual;Colectual P2P;Colectual platform;colectual
Conda,Platform,Conda;Conda P2P;Conda platform;conda
Crowd4Cash,Platform,Crowd4 Cash;Crowd4Cash;Crowd4Cash P2P;Crowd4Cash platform;crowd4 cash;crowd4cash
CRX,Platform,C R X;CRX;CRX P2P;CRX platform;c r x;crx
Evenfi,Platform,Evenfi;Evenfi P2P;Evenfi platform;evenfi
Fellow Finance,Platform,Fellow  Finance;Fellow Finance;Fellow Finance P2P;Fellow Finance platform;FellowFinance;fellow  finance;fellow finance
Finbee,Platform,Finbee;Finbee P2P;Finbee platform;finbee
Finomark,Platform,Finomark;Finomark P2P;Finomark platform;finomark
Flex Funding,Platform,Flex  Funding;Flex Funding;Flex Funding P2P;Flex Funding platform;FlexFunding;flex  funding;flex funding
Fulfin,Platform,Fulfin;Fulfin P2P;Fulfin platform;fulfin
Funding Partner,Platform,Funding  Partner;Funding Partner;Funding Partner P2P;Funding Partner platform;FundingPartner;funding  partner;funding partner
Geldvoorelkaar,Platform,Geldvoorelkaar;Geldvoorelkaar P2P;Geldvoorelkaar platform;geldvoorelkaar
Get Income,Platform,Get  Income;Get Income;Get Income P2P;Get Income platform;GetIncome;get  income;get income
Goparity,Platform,Goparity;Goparity P2P;Goparity platform;goparity
Hive Finance,Platform,Hive  Finance;Hive Finance;Hive Finance P2P;Hive Finance platform;HiveFinance;hive  finance;hive finance
ITF Group,Platform,I T F  Group;ITF Group;ITF Group P2P;ITF Group platform;ITFGroup;i t f  group;itf group
Klear Lending,Platform,Klear  Lending;Klear Lending;Klear Lending P2P;Klear Lending platform;KlearLending;klear  lending;klear lending
KOM Group,Platform,K O M  Group;KOM Group;KOM Group P2P;KOM Group platform;KOMGroup;k o m  group;kom group
Lend,Platform,Lend;Lend P2P;Lend platform;lend
Lendahand,Platform,Lendahand;Lendahand P2P;Lendahand platform;lendahand
Lending Club,Platform,Lending  Club;Lending Club;Lending Club P2P;Lending Club platform;LendingClub;lending  club;lending club
Max Crowdfund,Platform,Max  Crowdfund;Max Crowdfund;Max Crowdfund P2P;Max Crowdfund platform;MaxCrowdfund;max  crowdfund;max crowdfund
Mozzeno,Platform,Mozzeno;Mozzeno P2P;Mozzeno platform;mozzeno
Raize,Platform,Raize;Raize P2P;Raize platform;raize
Savy,Platform,Savy;Savy P2P;Savy platform;savy
SprayPay,Platform,Spray Pay;SprayPay;SprayPay P2P;SprayPay platform;spray pay;spraypay
Stately Credit,Platform,Stately  Credit;Stately Credit;Stately Credit P2P;Stately Credit platform;StatelyCredit;stately  credit;stately credit
Steward,Platform,Steward;Steward P2P;Steward platform;steward
StockCrowd IN (Grow.ly),Platform,Stock Crowd  I N ( Grow.ly);StockCrowd IN (Grow.ly);StockCrowd IN (Grow.ly) P2P;StockCrowd IN (Grow.ly) platform;StockCrowdIN(Grow.ly);stock crowd  i n ( grow.ly);stockcrowd in (grow.ly)
Tapline,Platform,Tapline;Tapline P2P;Tapline platform;tapline
Untapped Global,Platform,Untapped  Global;Untapped Global;Untapped Global P2P;Untapped Global platform;UntappedGlobal;untapped  global;untapped global
Vauraus,Platform,Vauraus;Vauraus P2P;Vauraus platform;vauraus
Winwinner,Platform,Winwinner;Winwinner P2P;Winwinner platform;winwinner
WiSeed,Platform,Wi Seed;WiSeed;WiSeed P2P;WiSeed platform;wi seed;wiseed
Avellinia,Fund,Avellinia;Avellinia Capital;Avellinia Fund;avellinia
AWI KMU Darlehen,Fund,A W I  K M U  Darlehen;AWI KMU Darlehen;AWI KMU Darlehen Capital;AWI KMU Darlehen Fund;AWIKMUDarlehen;a w i  k m u  darlehen;awi kmu darlehen
Castlelake,Fund,Castlelake;Castlelake Capital;Castlelake Fund;castlelake
Channel Capital,Fund,Channel  Capital;Channel Capital;Channel Capital Fund;ChannelCapital;channel  capital;channel capital
Fasanara,Fund,Fasanara;Fasanara Capital;Fasanara Fund;fasanara
NordIX,Fund,Nord I X;NordIX;NordIX Capital;NordIX Fund;nord i x;nordix
Scayl,Fund,Scayl;Scayl Capital;Scayl Fund;scayl
Prêtons Ensemble (“Lending Together”),Fund,Prêtons  Ensemble (“ Lending  Together”);Prêtons Ensemble (“Lending Together”);Prêtons Ensemble (“Lending Together”) Capital;Prêtons Ensemble (“Lending Together”) Fund;PrêtonsEnsemble(“LendingTogether”);prêtons  ensemble (“ lending  together”);prêtons ensemble (“lending together”)
